#Dnipro;ukraine;west;;;;;;;;
#Brumwish;charity;celebrity;;;;;;;;
#ukraine;ukraine;west;;;;;;;;
#CallTheMidwife;tv_program;entertainment;;;;;;;;
#Mariupol;ukraine;west;;;;;;;;
#prideofbritain;england;west;;;;;;;;
#RebuildBritain;england;west;;;;;;;;
#FairfieldHearing;health;health;;;;;;;;
#law;law;conflict;;;;;;;;
#Flying;sport;sport;;;;;;;;
#winter;nature;outside;;;;;;;;
#InterXmas;entertainment;entertainment;;;;;;;;
#LineofDuty;tv_program;entertainment;;;;;;;;
#cleaning;health;health;;;;;;;;
#AE22;unknown;unknown;;;;;;;;
#bitcoin;internet;entertainment;;;;;;;;
#football;sport;sport;;;;;;;;
#InternetOfThings;science_and_technology;sci_tech;;;;;;;;
#UPDATE;news_outlets;news_politics;;;;;;;;
#cute;unknown;unknown;;;;;;;;
#AicoInTheCommunity;charity;celebrity;;;;;;;;
#ChampionsLeague;sport;sport;;;;;;;;
#quranverses;middle_east;east;;;;;;;;
#BestOfScotland;england;west;;;;;;;;
#housing;society;culture;;;;;;;;
#TodayOnTes;news_outlets;news_politics;;;;;;;;
#soul;society;culture;;;;;;;;
#thread;unknown;unknown;;;;;;;;
#TechScienceDaily;science_and_technology;sci_tech;;;;;;;;
#BuyAPaper;news_outlets;news_politics;;;;;;;;
#InsidePolitics;politician;news_politics;;;;;;;;
#Hawkeye;tv_program;entertainment;;;;;;;;
#FreezeTheFear;tv_program;entertainment;;;;;;;;
#Fasting;middle_east;east;;;;;;;;
#ThereWithUkraine;ukraine;west;;;;;;;;
#SampdoriaInter;sport;sport;;;;;;;;
#farmingcareers;work;work;;;;;;;;
#diabetes;health;health;;;;;;;;
#VIDEO;entertainment;entertainment;;;;;;;;
#BritishLegalAwards;law;conflict;;;;;;;;
#orchestra;music_and_art;entertainment;;;;;;;;
#BritainsGotTalent;tv_program;entertainment;;;;;;;;
#TheApprentice;tv_program;entertainment;;;;;;;;
#diversity;society;culture;;;;;;;;
#coops;unknown;unknown;;;;;;;;
#holidayhome;travel;outside;;;;;;;;
#tfl;england;west;;;;;;;;
#BREAKING;news_outlets;news_politics;;;;;;;;
#Cop26;environment;environment;;;;;;;;
#callthemidwife;tv_program;entertainment;;;;;;;;
#M25;england;west;;;;;;;;
#Skriniar;sport;sport;;;;;;;;
#OmicronVariant;pandemic;health;;;;;;;;
#UKNews;news_outlets;news_politics;;;;;;;;
#AFC;sport;sport;;;;;;;;
#HS2;work;work;;;;;;;;
#UN;politician;news_politics;;;;;;;;
#Zaporizhzhia;ukraine;west;;;;;;;;
#countdown;film;entertainment;;;;;;;;
#Kickstart;internet;entertainment;;;;;;;;
#support;society;culture;;;;;;;;
#climateni;environment;environment;;;;;;;;
#beauty;life;health;;;;;;;;
#freewill;law;conflict;;;;;;;;
#Charity;charity;celebrity;;;;;;;;
#OpEd;news_outlets;news_politics;;;;;;;;
#Countryfile;tv_program;entertainment;;;;;;;;
#neweconomy;news_outlets;news_politics;;;;;;;;
#Minsk;russia;east;;;;;;;;
#ArmisticeDay;military;conflict;;;;;;;;
#Oscars2022;film;entertainment;;;;;;;;
#Taskmaster;games;entertainment;;;;;;;;
#EarthDay;environment;environment;;;;;;;;
#MeToo;society;culture;;;;;;;;
#partygate;politician;news_politics;;;;;;;;
#YouTube;internet;entertainment;;;;;;;;
#piersuncensored;tv_program;entertainment;;;;;;;;
#InterNapoli;sport;sport;;;;;;;;
#ps5stock;games;entertainment;;;;;;;;
#COP26;environment;environment;;;;;;;;
#Towcester;england;west;;;;;;;;
#Reminder;life;health;;;;;;;;
#SellingSunset;tv_program;entertainment;;;;;;;;
#Czech;europe;west;;;;;;;;
#TheGirlBefore;tv_program;entertainment;;;;;;;;
#Wordle306;entertainment;entertainment;;;;;;;;
#houseofgames;tv_program;entertainment;;;;;;;;
#economy;economy;work;;;;;;;;
#competitiontime;entertainment;entertainment;;;;;;;;
#NorthernIreland;england;west;;;;;;;;
#Pompey;celebrity;celebrity;;;;;;;;
#Venezia78;entertainment;entertainment;;;;;;;;
#dannimenzies;celebrity;celebrity;;;;;;;;
#Lithuanian;europe;west;;;;;;;;
#SarahEverard;crime;conflict;;;;;;;;
#migration;migration;culture;;;;;;;;
#Severodonetsk;ukraine;west;;;;;;;;
#RyderCup;sport;sport;;;;;;;;
#AsOne;entertainment;entertainment;;;;;;;;
#InterLazio;sport;sport;;;;;;;;
#SouthKorea;asia;east;;;;;;;;
#Istanbul;middle_east;east;;;;;;;;
#hijab;middle_east;east;;;;;;;;
#Fortnite;games;entertainment;;;;;;;;
#Izyum;ukraine;west;;;;;;;;
#Gardening;life;health;;;;;;;;
#WordleDailyHints;entertainment;entertainment;;;;;;;;
#fuel;energy;sport;;;;;;;;
#ukweather;england;west;;;;;;;;
#MAFSAustralia;tv_program;entertainment;;;;;;;;
#HumanRights;society;culture;;;;;;;;
#Islam;middle_east;east;;;;;;;;
#FORZAINTER;sport;sport;;;;;;;;
#GRAMMYs;music_and_art;entertainment;;;;;;;;
#covidpressconference;pandemic;health;;;;;;;;
#JoeBiden;politician;news_politics;;;;;;;;
#Kazakhstan;middle_east;east;;;;;;;;
#saudigreeninitiative;middle_east;east;;;;;;;;
#Wordle311;entertainment;entertainment;;;;;;;;
#Food;life;health;;;;;;;;
#WarinUkraine;ukraine;west;;;;;;;;
#TheStageAwards;music_and_art;entertainment;;;;;;;;
#MarvelStudios;film;entertainment;;;;;;;;
#UnitedNations;politician;news_politics;;;;;;;;
#Russian;russia;east;;;;;;;;
#BBCBreakfast;news_outlets;news_politics;;;;;;;;
#dog;life;health;;;;;;;;
#HollingtonDrive;tv_program;entertainment;;;;;;;;
#SaudiArabia;middle_east;east;;;;;;;;
#PeakDistrict;travel;outside;;;;;;;;
#DragonsDen;tv_program;entertainment;;;;;;;;
#granddesigns;tv_program;entertainment;;;;;;;;
#TheLostCity;film;entertainment;;;;;;;;
#journalismjobs;news_outlets;news_politics;;;;;;;;
#US;america;west;;;;;;;;
#LatinAmerica;america;west;;;;;;;;
#SpiderMan;film;entertainment;;;;;;;;
#themasters;entertainment;entertainment;;;;;;;;
#UnitedWithUkraine;ukraine;west;;;;;;;;
#hiphop;music_and_art;entertainment;;;;;;;;
#PeakyBlinders;tv_program;entertainment;;;;;;;;
#Camilla;celebrity;celebrity;;;;;;;;
#ReturnToHogwarts;film;entertainment;;;;;;;;
#Tenterden;england;west;;;;;;;;
#streetfood;life;health;;;;;;;;
#houseplants;life;health;;;;;;;;
#Warrington;england;west;;;;;;;;
#achizitii;unknown;unknown;;;;;;;;
#BritneySpears;celebrity;celebrity;;;;;;;;
#IranDailyOnline;middle_east;east;;;;;;;;
#Sponsored;commerce;work;;;;;;;;
#ConcertForUkraine;ukraine;west;;;;;;;;
#highereducation;education;news_politics;;;;;;;;
#StandWithUkraine️;ukraine;west;;;;;;;;
#wellbeing;life;health;;;;;;;;
#Wordle285;entertainment;entertainment;;;;;;;;
#education;education;news_politics;;;;;;;;
#BCT;internet;entertainment;;;;;;;;
#ccawards;commerce;work;;;;;;;;
#MoonKnight;tv_program;entertainment;;;;;;;;
#ChapelenleFrith;england;west;;;;;;;;
#JohnnyDeppVsAmberHeard;celebrity;celebrity;;;;;;;;
#questiontime;entertainment;entertainment;;;;;;;;
#TheLongCall;education;news_politics;;;;;;;;
#localelections;politician;news_politics;;;;;;;;
#Palestinian;middle_east;east;;;;;;;;
#InterSpezia;sport;sport;;;;;;;;
#Bitcoin;internet;entertainment;;;;;;;;
#BigBrother;tv_program;entertainment;;;;;;;;
#regatta;sport;sport;;;;;;;;
#Exclusive;unknown;unknown;;;;;;;;
#WorldMenopauseDay;health;health;;;;;;;;
#EuropeanUnion;europe;west;;;;;;;;
#Tories;politician;news_politics;;;;;;;;
#Outlander;tv_program;entertainment;;;;;;;;
#internet;internet;entertainment;;;;;;;;
#SAFC;sport;sport;;;;;;;;
#Chernihiv;ukraine;west;;;;;;;;
#Grants;society;culture;;;;;;;;
#otd;economy;work;;;;;;;;
#WorkersRights;work;work;;;;;;;;
#Oscars;film;entertainment;;;;;;;;
#Earth;environment;environment;;;;;;;;
#Tameside;england;west;;;;;;;;
#HarryStyles;celebrity;celebrity;;;;;;;;
#FuryWhyte;sport;sport;;;;;;;;
#women;sport;sport;;;;;;;;
#Migrants;migration;culture;;;;;;;;
#Cardiff;england;west;;;;;;;;
#AFPGraphics;internet;entertainment;;;;;;;;
#SuccessionHBO;tv_program;entertainment;;;;;;;;
#science;science_and_technology;sci_tech;;;;;;;;
#AndJustLikeThat;tv_program;entertainment;;;;;;;;
#house;life;health;;;;;;;;
#thechase;tv_program;entertainment;;;;;;;;
#EmmaRaducanu;celebrity;celebrity;;;;;;;;
#islam;middle_east;east;;;;;;;;
#DeathInParadise;tv_program;entertainment;;;;;;;;
#russia;russia;east;;;;;;;;
#government;politician;news_politics;;;;;;;;
#queen;celebrity;celebrity;;;;;;;;
#PremierLeague;sport;sport;;;;;;;;
#LFC;sport;sport;;;;;;;;
#Covid_19;pandemic;health;;;;;;;;
#Granturi;society;culture;;;;;;;;
#TV;entertainment;entertainment;;;;;;;;
#muslimah;middle_east;east;;;;;;;;
#MichelAoun;politician;news_politics;;;;;;;;
#AFPSports;sport;sport;;;;;;;;
#Afghan;middle_east;east;;;;;;;;
#Yorkshire;life;health;;;;;;;;
#NUFC;sport;sport;;;;;;;;
#WW2;military;conflict;;;;;;;;
#IAmJazz;tv_program;entertainment;;;;;;;;
#highstreet;life;health;;;;;;;;
#RussiaUkraine;military;conflict;;;;;;;;
#Beijing;china;east;;;;;;;;
#Denton;law;conflict;;;;;;;;
#AnAudienceWithAdele;film;entertainment;;;;;;;;
#PancakeDay;life;health;;;;;;;;
#Henley;england;west;;;;;;;;
#MAFSAU;tv_program;entertainment;;;;;;;;
#TTGAussieFest;travel;outside;;;;;;;;
#BlackFriday;festival;outside;;;;;;;;
#lift_immunities;law;conflict;;;;;;;;
#giveaway;society;culture;;;;;;;;
#onthisday;life;health;;;;;;;;
#punkadeka;music_and_art;entertainment;;;;;;;;
#TomHardy;celebrity;celebrity;;;;;;;;
#CheltenhamFestival;charity;celebrity;;;;;;;;
#Kiev;russia;east;;;;;;;;
#5USA;news_outlets;news_politics;;;;;;;;
#SpringStatement;economy;work;;;;;;;;
#StormFranklin;nature;outside;;;;;;;;
#Warsaw;europe;west;;;;;;;;
#OneHealth;science_and_technology;sci_tech;;;;;;;;
#Endeavour;tv_program;entertainment;;;;;;;;
#climatechange;environment;environment;;;;;;;;
#WorldAhead;education;news_politics;;;;;;;;
#SheCan;society;culture;;;;;;;;
#3abn;news_outlets;news_politics;;;;;;;;
#Zelenskyy;politician;news_politics;;;;;;;;
#tax;economy;work;;;;;;;;
#FiorentinaInter;sport;sport;;;;;;;;
#Romford;england;west;;;;;;;;
#polo;sport;sport;;;;;;;;
#BigIdeasLive;work;work;;;;;;;;
#UnitedStates;america;west;;;;;;;;
#Aviation;science_and_technology;sci_tech;;;;;;;;
#ConservativePartyConference;politician;news_politics;;;;;;;;
#nccc;science_and_technology;sci_tech;;;;;;;;
#NCISHawaii;tv_program;entertainment;;;;;;;;
#TVP;news_outlets;news_politics;;;;;;;;
#media;news_outlets;news_politics;;;;;;;;
#wildlife;nature;outside;;;;;;;;
#LoveLocalDay;society;culture;;;;;;;;
#Windermere;america;west;;;;;;;;
#ESComment;unknown;unknown;;;;;;;;
#TheSplit;tv_program;entertainment;;;;;;;;
#ecfc;sport;sport;;;;;;;;
#AirQuality;environment;environment;;;;;;;;
#TheYorkshireVet;tv_program;entertainment;;;;;;;;
#SWFC;sport;sport;;;;;;;;
#SaturdayNightTakeaway;tv_program;entertainment;;;;;;;;
#punk;music_and_art;entertainment;;;;;;;;
#DowningStreetParties;politician;news_politics;;;;;;;;
#Donate;charity;celebrity;;;;;;;;
#InterSassuolo;sport;sport;;;;;;;;
#InternationalWomensDay;festival;outside;;;;;;;;
#cancer;health;health;;;;;;;;
#Beijing2022;china;east;;;;;;;;
#Snowboard;sport;sport;;;;;;;;
#BBCQT;news_outlets;news_politics;;;;;;;;
#vegan;health;health;;;;;;;;
#Marvel;film;entertainment;;;;;;;;
#BelowDeck;tv_program;entertainment;;;;;;;;
#Nintendo;games;entertainment;;;;;;;;
#GenoaInter;sport;sport;;;;;;;;
#UTVDebate;work;work;;;;;;;;
#ESG;environment;environment;;;;;;;;
#Transnistria;unknown;unknown;;;;;;;;
#TheRedHouse;film;entertainment;;;;;;;;
#Ennahdha;politician;news_politics;;;;;;;;
#InterFiorentina;sport;sport;;;;;;;;
#Estonia;europe;west;;;;;;;;
#TheLawyerHorizon;law;conflict;;;;;;;;
#Hogmanay;festival;outside;;;;;;;;
#September11;society;culture;;;;;;;;
#LabourConference2021;work;work;;;;;;;;
#WarCrimes;military;conflict;;;;;;;;
#LetMyPeopleGo;ukraine;west;;;;;;;;
#sport;sport;sport;;;;;;;;
#BreakTheBias;society;culture;;;;;;;;
#UniversityChallenge;awards_competition;celebrity;;;;;;;;
#EmmanuelMacron;politics;news_politics;;;;;;;;
#ClimateEmergency;climate;environment;;;;;;;;
#tech;sci_tech;sci_tech;;;;;;;;
#RIPArthur;news;news_politics;;;;;;;;
#UkraineUnderAttack;ukraine;west;;;;;;;;
#DailyQuordle;gaming;entertainment;;;;;;;;
#LGBTQ;society;culture;;;;;;;;
#Beijing2022WinterOlympics;sports;sport;;;;;;;;
#Boro;football;sport;;;;;;;;
#StarTrek;tv_cinema;entertainment;;;;;;;;
#Refugees;middle_east;east;;;;;;;;
#MAFSUK;tv_cinema;entertainment;;;;;;;;
#DoctorWhoFlux;tv_cinema;entertainment;;;;;;;;
#StoryCast21;music_radio;entertainment;;;;;;;;
#soldiers;politics;news_politics;;;;;;;;
#Lavrov;ukraine;west;;;;;;;;
#DailyWordleHints;gaming;entertainment;;;;;;;;
#Glasgow;local_news;news_politics;;;;;;;;
#China;politics;news_politics;;;;;;;;
#Appeal;middle_east;east;;;;;;;;
#Vod;tv_cinema;entertainment;;;;;;;;
#January6;politics;news_politics;;;;;;;;
#CorporateFinance;finance_work;work;;;;;;;;
#Remembrance;society;culture;;;;;;;;
#BrianLaundrie;news;news_politics;;;;;;;;
#OnThisDay;society;culture;;;;;;;;
#Wordle286;gaming;entertainment;;;;;;;;
#Starstruck;tv_cinema;entertainment;;;;;;;;
#BAFTA;tv_cinema;entertainment;;;;;;;;
#RoyalRoundUp;society;culture;;;;;;;;
#MarriedatfirstsightAustralia;tv_cinema;entertainment;;;;;;;;
#evax;covid;health;;;;;;;;
#design;religion;culture;;;;;;;;
#BristolUnpacked;local_news;news_politics;;;;;;;;
#alba360;sports;sport;;;;;;;;
#avgeek;sci_tech;sci_tech;;;;;;;;
#FoodRecall;lifestyle;health;;;;;;;;
#TheGildedAge;tv_cinema;entertainment;;;;;;;;
#history;society;culture;;;;;;;;
#British;politics;news_politics;;;;;;;;
#PiersUncensored;tv_cinema;entertainment;;;;;;;;
#StarWars;tv_cinema;entertainment;;;;;;;;
#Iran;middle_east;east;;;;;;;;
#JuliaBradburybreastcancerandme;news;news_politics;;;;;;;;
#Nottingham;society;culture;;;;;;;;
#LIVE;ukraine;west;;;;;;;;
#BusinessArena;finance_work;work;;;;;;;;
#STEM;sci_tech;sci_tech;;;;;;;;
#Diwali;religion;culture;;;;;;;;
#royal;society;culture;;;;;;;;
#NewsIsFreeOnTTG;news;news_politics;;;;;;;;
#Ashes;sports;sport;;;;;;;;
#NintendoDirect;gaming;entertainment;;;;;;;;
#garden;lifestyle;health;;;;;;;;
#SoccerAid;football;sport;;;;;;;;
#gardenroom;lifestyle;health;;;;;;;;
#EasyOnMe;music_radio;entertainment;;;;;;;;
#dawah;religion;culture;;;;;;;;
#SundayBrunch;tv_cinema;entertainment;;;;;;;;
#StormBarra;news;news_politics;;;;;;;;
#nuclear;politics;news_politics;;;;;;;;
#Donbass;ukraine;west;;;;;;;;
#Finnish;local_news;news_politics;;;;;;;;
#globalwarming;climate;environment;;;;;;;;
#LizTruss;politics;news_politics;;;;;;;;
#Parliament;politics;news_politics;;;;;;;;
#Wordle304;gaming;entertainment;;;;;;;;
#GeorgeHarrison;music_radio;entertainment;;;;;;;;
#Veganuary;lifestyle;health;;;;;;;;
#ClimateAction;climate;environment;;;;;;;;
#A45;news;news_politics;;;;;;;;
#eduQs;news;news_politics;;;;;;;;
#Mykolaiv;ukraine;west;;;;;;;;
#TLEA21;awards_competition;celebrity;;;;;;;;
#StrictlyComeDancing;tv_cinema;entertainment;;;;;;;;
#RAZOR;sci_tech;sci_tech;;;;;;;;
#Crufts;awards_competition;celebrity;;;;;;;;
#FreddieMercury;music_radio;entertainment;;;;;;;;
#COP26Glasgow;climate;environment;;;;;;;;
#creative;religion;culture;;;;;;;;
#shotsawards;awards_competition;celebrity;;;;;;;;
#StrictlySpoiler;tv_cinema;entertainment;;;;;;;;
#journalism;news;news_politics;;;;;;;;
#Lithuania;local_news;news_politics;;;;;;;;
#Yellowstone;tv_cinema;entertainment;;;;;;;;
#MoneyHeist;tv_cinema;entertainment;;;;;;;;
#TimesChristmasAppeal;news;news_politics;;;;;;;;
#metoffice;news;news_politics;;;;;;;;
#Hastings;local_news;news_politics;;;;;;;;
#TigerKing;tv_cinema;entertainment;;;;;;;;
#OurYorkshireFarm;tv_cinema;entertainment;;;;;;;;
#GVote21;politics;news_politics;;;;;;;;
#Donetsk;ukraine;west;;;;;;;;
#Donbas;ukraine;west;;;;;;;;
#Sweden;local_news;news_politics;;;;;;;;
#BBCOne;tv_cinema;entertainment;;;;;;;;
#LUFC;football;sport;;;;;;;;
#Dubai;local_news;news_politics;;;;;;;;
#Euphoria;tv_cinema;entertainment;;;;;;;;
#HHAwards21;awards_competition;celebrity;;;;;;;;
#GoodMorningBritain;news;news_politics;;;;;;;;
#Spiderman;tv_cinema;entertainment;;;;;;;;
#finance;finance_work;work;;;;;;;;
#AMAs;tv_cinema;entertainment;;;;;;;;
#NovakDjokovic;sports;sport;;;;;;;;
#M5;news;news_politics;;;;;;;;
#AVeryBritishScandal;tv_cinema;entertainment;;;;;;;;
#Evergrande;finance_work;work;;;;;;;;
#FrenchElection;politics;news_politics;;;;;;;;
#Sketch;politics;news_politics;;;;;;;;
#WorldToday;news;news_politics;;;;;;;;
